id,outcode,lat,lng
195,BH20,50.691366,-2.132027
196,BH21,50.85094,-1.974827
197,BH22,50.807066,-1.887595
198,BH23,50.765128,-1.768778
199,BH24,50.852293,-1.76088
200,BH25,50.765682,-1.657841
201,BH3,50.734458,-1.881671
202,BH31,50.875015,-1.87281
203,BH4,50.721093,-1.897089
204,BH5,50.72601,-1.840529
205,BH6,50.730295,-1.802762
206,BH7,50.738452,-1.830801
207,BH8,50.745078,-1.846279
208,BH9,50.752624,-1.886602
209,BL0,53.636852,-2.30806
210,BL1,53.597754,-2.453484
211,BL11,53.576178,-2.428677
212,BL2,53.593693,-2.391324
213,BL3,53.568916,-2.422751
214,BL4,53.547,-2.4
215,BL5,53.55759,-2.502241
216,BL6,53.592,-2.539
217,BL7,53.63,-2.421
218,BL78,53.571716,-2.416294
219,BL8,53.605,-2.327
220,BL9,53.5977,-2.279207
221,BN1,50.850784,-0.142862
222,BN10,50.797529,0.001428
223,BN11,50.813828,-0.373322
224,BN12,50.818779,-0.430321
225,BN13,50.848707,-0.425484
226,BN14,50.847599,-0.385276
227,BN15,50.838028,-0.32234
228,BN16,50.834167,-0.496557
229,BN17,50.818908,-0.551567
230,BN18,50.859865,-0.582145
231,BN2,50.826109,-0.079503
232,BN20,50.775889,0.233311
233,BN21,50.773,0.277
234,BN22,50.788,0.284
235,BN23,50.798425,0.309738
236,BN24,50.818566,0.338254
237,BN25,50.781231,0.12157
238,BN26,50.82473,0.197928
239,BN27,50.877024,0.2646
240,BN3,50.840303,-0.179222
241,BN41,50.84153,-0.219408
242,BN42,50.838239,-0.225923
243,BN43,50.853764,-0.269797
244,BN44,50.904437,-0.321909
245,BN45,50.868275,-0.179501
246,BN5,50.930604,-0.261921
247,BN50,50.823442,-0.140396
248,BN51,50.804823,-0.058672
249,BN52,50.829256,-0.168416
250,BN6,50.934068,-0.149694
251,BN7,50.880791,-0.024434
252,BN8,50.908128,0.080611
253,BN88,50.831246,-0.140438
254,BN9,50.800774,0.04936
255,BN99,50.820239,-0.379944
256,BR1,51.412584,0.024843
257,BR2,51.370626,0.029214
258,BR3,51.402093,-0.029233
259,BR4,51.375861,-0.004384
260,BR5,51.391538,0.100783
261,BR6,51.354868,0.101492
262,BR7,51.412562,0.058473
263,BR8,51.394097,0.177071
264,BS1,51.454813,-2.598741
265,BS10,51.516834,-2.629762
266,BS11,51.497,-2.675
267,BS13,51.412,-2.611
268,BS14,51.413,-2.561
269,BS15,51.452788,-2.504724
270,BS16,51.485,-2.51
271,BS2,51.457911,-2.579273
272,BS20,51.479,-2.752
273,BS21,51.42869,-2.827981
274,BS22,51.36,-2.929
275,BS23,51.343,-2.97
276,BS24,51.326837,-2.908488
277,BS25,51.318027,-2.829428
